date_start,date_end,geo_id,geo_level,category_name,hierarchy_level,metric_id,value,node_name,node_external_id
2026-05-01,2026-06-01,GLOBAL,global,soc_occupation,1,collaboration_directive_pct,42.94,"Installation, Maintenance, and Repair",49
2026-05-01,2026-06-01,GLOBAL,global,request,2,collaboration_directive_pct,27.87,Customer Support & Service Operations,61600610-d9a1-5a50-bb9d-a036200a56d4
2026-05-01,2026-06-01,GLOBAL,global,soc_occupation,1,collaboration_directive_pct,36.55,Educational Instruction and Library,25
2026-05-01,2026-06-01,GLOBAL,global,soc_occupation,1,collaboration_directive_pct,37.1,Transportation and Material Moving,53
2026-05-01,2026-06-01,GLOBAL,global,soc_occupation,1,collaboration_feedback_loop_pct,16.58,"Farming, Fishing, and Forestry",45
2026-05-01,2026-06-01,GLOBAL,global,request,2,collaboration_feedback_loop_pct,0.56,Other / Unclear,39405e0b-b8e2-5b7c-ace5-729b55cc1dee
2026-05-01,2026-06-01,GLOBAL,global,soc_occupation,1,collaboration_feedback_loop_pct,11.4,Construction and Extraction,47
2026-05-01,2026-06-01,GLOBAL,global,request,2,collaboration_feedback_loop_pct,48.74,Customer Support & Service Operations,61600610-d9a1-5a50-bb9d-a036200a56d4
2026-05-01,2026-06-01,GLOBAL,global,request,2,collaboration_feedback_loop_pct,25.51,"Existential, Relational, and Emotional Support",e509219a-676b-5523-a84f-1479ccedb49c
2026-05-01,2026-06-01,GLOBAL,global,soc_occupation,1,collaboration_feedback_loop_pct,13.56,"Life, Physical, and Social Science",19
2026-05-01,2026-06-01,GLOBAL,global,request,2,collaboration_learning_pct,8.4,Data Analysis & Business Intelligence,d30ef852-913f-5031-a515-5adb24883390
2026-05-01,2026-06-01,GLOBAL,global,soc_occupation,1,collaboration_learning_pct,22.19,"Farming, Fishing, and Forestry",45
2026-05-01,2026-06-01,GLOBAL,global,soc_occupation,1,collaboration_learning_pct,13.48,Protective Service,33
2026-05-01,2026-06-01,GLOBAL,global,request,2,collaboration_learning_pct,46.01,Knowledge Retrieval & Enterprise Search,88e1ef49-95e9-5582-bfd4-62db852237e3
2026-05-01,2026-06-01,GLOBAL,global,request,2,collaboration_learning_pct,2.87,Other / Unclear,39405e0b-b8e2-5b7c-ace5-729b55cc1dee
2026-05-01,2026-06-01,GLOBAL,global,request,2,collaboration_learning_pct,9.54,Customer Support & Service Operations,61600610-d9a1-5a50-bb9d-a036200a56d4
2026-05-01,2026-06-01,GLOBAL,global,request,2,collaboration_learning_pct,5.55,Sales & Revenue Operations,42156d02-d3e5-5a57-a309-e531a2a810d3
2026-05-01,2026-06-01,GLOBAL,global,request,2,collaboration_none_pct,35.72,Companionship & General Conversation,a9a21c7d-9a10-5f45-80a3-b44b44cd0881
2026-05-01,2026-06-01,GLOBAL,global,soc_occupation,1,collaboration_none_pct,2.92,Protective Service,33
2026-05-01,2026-06-01,GLOBAL,global,soc_occupation,1,collaboration_none_pct,2.47,"Installation, Maintenance, and Repair",49
2026-05-01,2026-06-01,GLOBAL,global,request,2,collaboration_none_pct,78.88,Other / Unclear,39405e0b-b8e2-5b7c-ace5-729b55cc1dee
2026-05-01,2026-06-01,GLOBAL,global,soc_occupation,1,collaboration_none_pct,1.06,Construction and Extraction,47
2026-05-01,2026-06-01,GLOBAL,global,request,2,collaboration_bucket_augmentation_pct,34.52,Software Development,f1286a7a-ec7b-55b6-b252-9606092d40cd
2026-05-01,2026-06-01,GLOBAL,global,soc_occupation,1,collaboration_bucket_augmentation_pct,60.92,Healthcare Support,31
