iso3,name,lat,lng,usage_pct,usage_per_capita_index,use_case_work_pct,use_case_personal_pct,use_case_coursework_pct,collaboration_bucket_automation_pct,collaboration_bucket_augmentation_pct,ai_autonomy_mean,multitasking_pct,working_age_pop,gdp_2024,top_topic,top_topic_pct
MAR,Morocco,28.687598134979325,-8.817212587250811,0.54,0.9,34.51,30.6,34.89,47.71,52.29,2.77,19.76,25220566.0,155350000000.0,Content Creation & Copywriting,24.86
MDA,Moldova,47.0725674580696,28.391111865941348,0.05,1.45,36.7,38.16,25.14,50.77,49.23,2.7,21.1,1529130.0,18126000000.0,Content Creation & Copywriting,24.76
MDG,Madagascar,-19.04163612493041,46.68493466832544,0.04,0.1,45.5,28.91,25.59,52.27,47.73,2.79,19.96,18328064.0,17420000000.0,Content Creation & Copywriting,25.87
MEX,Mexico,23.87436068093592,-101.55399731630118,1.32,0.63,44.97,33.95,21.08,50.36,49.64,2.81,22.46,87993476.0,1852723000000.0,Content Creation & Copywriting,24.01
MKD,North Macedonia,41.59402890143112,21.70998923872772,0.03,0.98,41.86,40.25,17.89,47.13,52.87,2.72,22.72,1167649.0,16678999999.999998,Content Creation & Copywriting,21.33
MLT,Malta,35.890522650899314,14.441922442508494,0.04,4.0,48.04,34.32,17.64,49.89,50.11,2.74,23.75,383417.0,24315000000.0,Content Creation & Copywriting,24.05
MNG,Mongolia,47.08644454604851,103.3987360327455,0.07,1.37,32.84,33.05,34.11,57.44,42.56,2.78,17.98,2208951.0,23586000000.0,Education & Learning,25.45
MOZ,Mozambique,-17.525230309488748,35.208577031290176,0.03,0.08,31.88,24.8,43.32,52.13,47.87,2.88,20.23,18274202.0,21944000000.0,Content Creation & Copywriting,31.89
MUS,Mauritius,-20.28142317475198,57.56415671066546,0.04,1.74,49.36,32.8,17.84,50.62,49.38,2.8,23.68,902605.0,14953000000.0,Content Creation & Copywriting,23.62
MYS,Malaysia,3.6716608556387857,114.63330303992869,0.51,0.87,46.28,33.9,19.82,47.2,52.8,2.78,22.83,25059539.0,419617000000.0,Content Creation & Copywriting,24.3
NAM,Namibia,-21.90858163281473,18.16451345845268,0.02,0.44,35.85,27.78,36.38,52.91,47.09,2.82,23.97,1798301.0,13370000000.0,Education & Learning,28.42
NGA,Nigeria,9.61029352034213,8.147714845256194,0.73,0.24,47.64,34.73,17.63,51.7,48.3,2.81,28.31,130155065.0,187640000000.0,Content Creation & Copywriting,38.63
NLD,The Netherlands,52.134054128923886,5.554136426128487,1.07,3.9,40.82,44.54,14.64,45.27,54.73,2.69,23.77,11602374.0,1227174000000.0,Content Creation & Copywriting,22.51
NOR,Norway,64.97775882947745,16.670259272390894,0.35,4.04,31.17,42.45,26.38,41.26,58.74,2.63,24.24,3623426.0,483727000000.0,Education & Learning,20.1
NPL,Nepal,28.300920699755657,84.1338898313567,0.19,0.41,34.07,33.98,31.95,51.27,48.73,2.78,19.69,19293162.0,43419000000.0,Education & Learning,25.72
NZL,New Zealand,-43.82765432544426,170.69035541428696,0.39,4.84,43.16,37.27,19.57,46.33,53.67,2.69,26.66,3453239.0,257728000000.0,Content Creation & Copywriting,23.26
OMN,Oman,20.7242833183209,55.841088119829,0.07,0.73,43.16,31.81,25.03,50.08,49.92,2.8,19.55,3836566.0,106943000000.0,Content Creation & Copywriting,23.48
PAK,Pakistan,30.116188371410882,69.08835090769651,1.08,0.31,40.32,29.94,29.74,50.69,49.31,2.77,21.38,148335347.0,373078000000.0,Content Creation & Copywriting,28.75
PAN,Panama,8.439536749576892,-80.14428761482796,0.09,1.28,44.87,33.05,22.08,50.85,49.15,2.81,23.09,2969081.0,87688000000.0,Content Creation & Copywriting,25.23
PER,Peru,-8.522717984240291,-74.11416196781884,0.57,1.05,36.17,21.96,41.87,47.58,52.42,2.83,19.63,22858026.0,289070000000.0,Education & Learning,27.17
